"Time-Step";"flow-time";"tensao-a";"tensao-b";"tensao-c"
139;0.01158287;-706.1016581784985;-960.6673535376843;983.7224030481723
140;0.0116662;-679.2740916827302;-965.412818830295;966.1968532873286
141;0.01174953;-649.7887795575512;-967.5221257857614;948.2130475449486
142;0.01183286;-619.5656451915592;-969.8115535537603;928.4594291107411
143;0.01191619;-586.5063340459574;-969.9520678052235;909.7323629872832
144;0.01199952;-550.872005120703;-970.118647464257;890.2021832126583
145;0.01208285;-512.6466729482581;-968.8851972458642;871.2863982333289
146;0.01216618;-470.7422372610622;-965.1322399275649;851.4315711145269
147;0.01224951;-423.1463474284083;-959.7876610427693;830.8819428257754
148;0.01233284;-368.9833485020916;-950.4637802088785;810.070604240605
149;0.01241617;-308.2487377666382;-938.7693691764298;787.4376445394511
150;0.0124995;-242.2914593949534;-925.8197575593621;763.0508647255143
151;0.01258283;-172.5179776423315;-911.8893245086238;738.5189688729838
152;0.01266616;-99.70919700572678;-896.8513010718899;713.7013747365527
153;0.01274949;-25.59029463938467;-881.8136166922866;687.2307740900619
154;0.01283282;49.37818227942937;-866.533460402198;661.5042540155455
155;0.01291615;124.2821242634311;-849.6105969732932;634.7947828259827
156;0.01299948;200.1128892799195;-836.5245585531968;610.7606273952541
157;0.01308281;275.0796664054397;-823.0272317443988;583.9846372051624
158;0.01316614;347.6741497998208;-812.0820748278426;555.6163952537546
159;0.01324947;414.2910299638686;-809.4540978719083;521.5101859240453
160;0.0133328;483.4303725765468;-803.780610869397;492.8753192175884
161;0.01341613;546.9423001360341;-803.2260483394949;461.655294021288
162;0.01349946;611.2608784638785;-799.4817789791636;436.5019698561491
163;0.01358279;671.5971651775612;-797.3975205082098;413.3319790269337
164;0.01366612;727.2974244917157;-796.0223926962678;391.7568346491714
165;0.01374945;778.9084296306087;-796.9415341554111;370.8857214349871
166;0.01383278;825.3971811385388;-797.6118170802062;350.8888848898214
167;0.01391611;866.8137131817076;-799.0299749803911;331.2109156335114
168;0.01399944;902.9380159385101;-801.36929888423;312.2009734379507
169;0.01408277;932.7271501289453;-802.7993609254421;293.5470278205691
170;0.0141661;956.6549443877875;-805.27479009205;274.2791467939552
171;0.01424943;976.2482984237487;-806.4636443895215;254.6772962169522
172;0.01433276;992.1225741477975;-808.5021088035965;234.0579503781107
173;0.01441609;1003.831692948645;-809.0255599476582;213.1332467339797
174;0.01449942;1011.408481660633;-809.3970618780147;190.2419788971918
175;0.01458275;1019.15462648757;-807.8955506627794;165.8023593896214
176;0.01466608;1026.229755915516;-806.5180042174338;137.7600717536258
177;0.01474941;1030.374760645269;-804.2134062188958;105.8713006661165
178;0.01483274;1031.662756395793;-802.2138951276819;70.05593417790844
179;0.01491607;1035.038784365029;-798.4831496860784;29.92971280403606
180;0.0149994;1037.097189787072;-794.228770845489;-16.06239801443052
181;0.01508273;1037.273477247272;-789.972734509852;-67.08673961260082
182;0.01516606;1038.904447599703;-783.0405709413695;-122.0641425402259
183;0.01524939;1041.244636523927;-775.369401789947;-180.9024775466866
184;0.01533272;1043.635192294098;-766.7956493095439;-242.9726278246093
185;0.01541605;1042.49529370399;-756.9927902616511;-307.0394895604252
186;0.01549938;1044.290493833664;-745.3500883620883;-372.1832733683646
187;0.01558271;1045.491362667157;-733.6816324079463;-437.9271816072877
188;0.01566604;1042.798513900605;-719.9048100486748;-503.6504878918345
189;0.01574937;1043.76436832768;-705.6807912783177;-568.7786014255909
190;0.0158327;1043.800979563718;-690.4332409637352;-633.3826738081621
191;0.01591603;1037.691443098842;-674.510457367385;-697.5824631589724
192;0.01599936;1036.62590185362;-657.0953443150519;-760.3293681702263
