Time-Step;flow-time;jmag(plano-eletrodos-a);jmag(plano-eletrodos-b);jmag(plano-eletrodos-c)
113.0;0.009378999999999998;17566395.89105518;6116248.035104694;9036204.59600119
114.0;0.009461999999999998;16716222.35993788;5194495.044892144;9484407.83378403
115.0;0.009545000000000001;16680422.7883931;4541597.533225864;9934448.494108947
116.0;0.009628000000000001;15786418.59854731;3597659.783884052;10331026.39623163
117.0;0.009711000000000001;15691215.13873905;2927385.999262139;10707103.64207871
118.0;0.009794;14850374.29081756;2016704.720567987;11077350.05280411
119.0;0.009877;14665431.0953534;1332600.709226937;11428739.92566674
120.0;0.00996;13856175.35735765;454845.0502289518;11761161.20759282
121.0;0.010043;13534593.27778577;290074.136019918;12081615.2412848
122.0;0.010126;12853250.75699564;1107875.346760229;12409817.68971479
123.0;0.010209;12363163.16324607;1866600.107354903;12736975.02572155
124.0;0.010292;11800822.35562237;2632846.88957619;13041508.74742371
125.0;0.010375;11223334.47540431;3394549.735251989;13341498.34212372
126.0;0.010458;10668368.24667405;4142193.938789099;13650762.04359717
127.0;0.010541;10101271.53158922;4888445.641405045;13970676.76945791
128.0;0.010624;9559780.866841255;5614960.508065097;14283922.2301928
129.0;0.010707;8998499.522506591;6348811.252592275;14611167.22520418
130.0;0.01079;8446081.075138155;7121699.639550479;15023808.47606871
131.0;0.010873;7922887.277332641;7983477.710637339;15606378.93605014
132.0;0.010956;7406797.715921815;8920240.50218043;16332601.06491367
133.0;0.011039;6927921.975845984;9876593.14122188;17101717.04086856
134.0;0.011122;6391933.688217728;10843449.30930933;17838692.91152702
135.0;0.011205;5924410.879149822;11774915.15958198;18501150.46728049
136.0;0.011288;5440908.178580469;12664226.30599605;19008677.861844
137.0;0.011371;4995174.141263717;13447827.84485904;19271255.80139466
138.0;0.011454;4555879.688704917;14277917.04539495;19645051.15555014
139.0;0.011537;4125224.736270754;14977553.63845528;19839335.63449218
140.0;0.01162;3719070.492509349;15653168.69929531;20074526.09213648
141.0;0.011703;3316652.880103598;16065266.52130454;19926543.86344279
142.0;0.011786;2934103.596392872;16572310.40239717;20065756.92818698
143.0;0.011869;2552661.796180101;16979355.90416283;19873124.68602213
144.0;0.011952;2190151.724331396;17476417.84906871;20022548.17286532
145.0;0.012035;1836063.591226273;17842209.14915436;19633298.52361785
146.0;0.012118;1494019.581917267;18444270.50338526;19868803.99916011
147.0;0.012201;1156164.065866033;18832648.93485799;19480730.51389205
148.0;0.012284;833850.755405055;19405723.61458103;19629139.92889816
149.0;0.012367;513754.514889964;19775992.13831937;19127115.46798799
150.0;0.01245;207884.185738212;20326935.52557465;19254002.0651733
151.0;0.012533;99498.51535113489;20639186.31849402;18733708.51148157
152.0;0.012616;397327.8721799968;21057193.0561781;18733553.72118838
