Time-Step;flow-time;tensao(plano-eletrodos-a);tensao(plano-eletrodos-b);tensao(plano-eletrodos-c)
108.0;0.008964;-735.6737362449647;-84.15849796966299;962.0890124634194
109.0;0.009047;-706.0081223154554;-103.9797706849119;978.8703538012555
110.0;0.00913;-749.0618587525686;-104.9295852493873;999.5672126383238
111.0;0.009212999999999999;-726.9723318314499;-122.140256831714;1013.121511261489
112.0;0.009295999999999999;-770.4230472206547;-121.6974560163751;1028.641223041458
113.0;0.009378999999999998;-747.7504382611069;-137.7069177987586;1036.836131071183
114.0;0.009461999999999998;-783.0362177275267;-138.7244112942833;1048.474964328787
115.0;0.009545000000000001;-763.8486759434728;-153.0555176398239;1053.389388163361
116.0;0.009628000000000001;-798.326478479699;-153.2954682689442;1062.485557643087
117.0;0.009711000000000001;-779.1250590828288;-166.2552385208017;1064.983741711968
118.0;0.009794;-806.3927487404509;-167.7489702591714;1069.031473517206
119.0;0.009877;-789.2120022867308;-179.624840568206;1068.261747065958
120.0;0.00996;-810.7722515394724;-181.9228793136045;1067.278262686968
121.0;0.010043;-799.1272260930753;-191.8245937011973;1063.413319428633
122.0;0.010126;-808.6224004011547;-196.4330841347452;1058.500242688132
123.0;0.010209;-804.5842726166366;-204.366688917391;1052.022490212392
124.0;0.010292;-803.1148330217985;-211.8035918369227;1045.478078499696
125.0;0.010375;-801.6771432552904;-219.2403054580085;1037.043028967946
126.0;0.010458;-796.1325014729449;-226.918939408834;1025.878320755673
127.0;0.010541;-790.2382252370119;-234.5069665740096;1013.195836810304
128.0;0.010624;-780.9978023708679;-242.4506082779716;999.4312578571569
129.0;0.010707;-771.038724039918;-249.484979967761;983.0659079967164
130.0;0.01079;-758.115922510798;-253.7126267831493;959.2431660199818
131.0;0.010873;-739.2803656775669;-252.298525407185;922.0192804219438
132.0;0.010956;-717.5986909054551;-246.1517971430738;873.484935697563
133.0;0.011039;-691.6142650370203;-237.8696989931682;821.0568878047804
134.0;0.011122;-667.3935160065874;-228.1261224140153;770.3177822334632
135.0;0.011205;-637.5158095518074;-218.7053073975815;723.0875752909976
136.0;0.011288;-609.0408797711334;-210.1993634486034;685.3665424316224
137.0;0.011371;-580.2173758412717;-206.3919243080902;662.5042390260625
138.0;0.011454;-548.7079521671849;-198.9047190099646;629.5817286376456
139.0;0.011537;-516.9124869214394;-198.0093275647853;606.7627414446036
140.0;0.01162;-482.652937491659;-197.6324304440322;579.0127405284651
141.0;0.011703;-450.2229020463572;-211.0566755730952;574.5142080348652
142.0;0.011786;-414.4571990899274;-218.8733128432505;548.0604539705446
143.0;0.011869;-378.6033325629482;-229.9606364231421;541.6789507632128
144.0;0.011952;-339.9006878963124;-236.3771354960892;509.3942592656607
145.0;0.012035;-301.2132834613033;-247.3287921054464;512.3139969053293
146.0;0.012118;-258.6609740492312;-245.8711080317902;470.3447105457798
147.0;0.012201;-217.3302751585309;-253.1692850617345;469.3050876725144
148.0;0.012284;-172.5052086030694;-250.1336579646907;429.1465634619318
149.0;0.012367;-128.9391325897223;-254.7517778707943;432.6345697297681
150.0;0.01245;-82.09059989791653;-249.2864218497194;390.4857729533794
151.0;0.012533;-37.33033066065699;-253.9448745625281;390.4544854082415
152.0;0.012616;9.181961895657022;-252.9954688587901;353.6524463924529
153.0;0.012699;53.21720317301717;-263.0039379961634;357.7694691799738
154.0;0.012782;99.22262474295002;-265.1868782216071;321.2185629810396
155.0;0.012865;143.0014986906525;-276.2698384349551;320.3540826906446
156.0;0.012948;187.8310495734062;-282.7326913002673;292.7974114031136
157.0;0.013031;230.4783624489125;-297.2219514444336;296.8934634631036
158.0;0.013114;274.5282756328788;-304.8684022557263;268.5610532994216
159.0;0.013197;316.9849978484308;-317.6026001127384;264.4481924699824
160.0;0.01328;360.2151253675677;-326.4110454205929;241.4721528053071
161.0;0.013363;401.5146484773231;-340.9504751164089;242.4543263026202
162.0;0.013446;443.6142073111204;-349.9836279182154;218.8214398695479
163.0;0.013529;483.8920140810454;-363.0439821473715;213.9193809810097
164.0;0.013612;524.5621042147862;-372.7948379882847;194.0793558064185
165.0;0.013695;563.5475847134144;-385.8862617638551;189.3701537406354
166.0;0.013778;602.247936958712;-396.4081529690114;171.7161510534332
167.0;0.013861;639.8860348649836;-408.8830382036955;163.6081767539367
168.0;0.013944;675.762101611732;-419.9284363618152;148.642583244599
169.0;0.014027;710.2378977855386;-431.6127360264484;136.7757974229547
170.0;0.01411;743.05845147016;-442.7743687575461;122.9121903072183
171.0;0.014193;773.939156028331;-454.3358654113023;109.0965695654673
172.0;0.014276;803.2040212725852;-466.7226114310018;95.47001810896391
173.0;0.014359;829.7778704675954;-477.1281924838339;79.24363849413064
174.0;0.014442;854.5079525406569;-485.7800058501847;63.08907248991462
175.0;0.014525;877.1028186153409;-495.90738222419;45.33643076714382
176.0;0.014608;898.2625140908208;-501.1761420428266;27.56308815618784
177.0;0.014691;915.440860693167;-509.0324738392443;9.386597426792925
178.0;0.014774;931.5560369625659;-510.4271671723321;-11.11895753186407
179.0;0.014857;945.4377983515238;-516.5356175758054;-33.34677924512153
180.0;0.01494;957.2193647068048;-516.8561531361431;-56.80667756059584
181.0;0.015023;967.2352197917846;-525.9149208388714;-81.16365137893199
182.0;0.015106;976.2566233893982;-527.8723460985577;-107.4653349560484
183.0;0.015189;981.7942603048984;-545.2663763583879;-136.3616853486852
184.0;0.015272;987.0053655985838;-557.4396672108207;-168.4493502959624
185.0;0.015355;990.593828246332;-578.0734079253045;-205.2490322263588
186.0;0.015438;992.9221875817311;-591.2024230160839;-244.8795498499201
187.0;0.015521;995.9493423579282;-609.1029111928235;-286.6872896554358
188.0;0.015604;996.4158277894069;-620.9382624135668;-329.142878543685
189.0;0.015687;994.4855340548313;-629.9355073108609;-371.5745685996554
190.0;0.01577;991.9987471845271;-632.0474339058196;-413.4236736097413
191.0;0.015853;988.9201624891189;-635.2150600862833;-455.4598929960054
192.0;0.015936;983.7270306101107;-631.5811312309331;-496.6475815804314
193.0;0.016019;979.1607678601295;-632.3247951656524;-538.2287618133649
194.0;0.016102;973.6012840802726;-623.3682609454012;-578.3841456158304
195.0;0.016185;968.8868256199868;-608.6793318891938;-617.6566356961558
196.0;0.016268;953.2864807224114;-581.8046319679506;-655.2728874585353
197.0;0.016351;937.8601757785685;-550.9698026881765;-691.6144409712643
198.0;0.016434;934.5290187444649;-518.7224852818257;-725.552019858789
199.0;0.016517;897.453497980295;-460.7634641735258;-753.4283775498606
200.0;0.0166;860.7601828890673;-389.2799912887663;-778.073238352475
201.0;0.016683;805.5221373779035;-306.046160779114;-798.779598303618
202.0;0.016766;770.1092044671;-234.3724466418484;-821.077364890821
203.0;0.016849;737.2055003512078;-152.427187746954;-840.2210876508003
204.0;0.016932;719.4714022412487;-118.2340507486625;-866.0627307630642
205.0;0.017015;716.5875888566868;-70.38708885975056;-888.2765975626081
206.0;0.017098;712.7101828163921;-59.66799792253784;-914.464118376385
207.0;0.017181;734.2133796636875;-33.6065719361551;-936.8653868628184
208.0;0.017264;731.0190948092766;-27.33088847603091;-959.381539974169
