x:tensao_200pontos: tensao(corte-tensao-a);y:tensao_200pontos: tensao(corte-tensao-a);x:tensao_200pontos: tensao(corte-tensao-b);y:tensao_200pontos: tensao(corte-tensao-b);x:tensao_200pontos: tensao(corte-tensao-c);y:tensao_200pontos: tensao(corte-tensao-c);x:tensao_100pontos: tensao(corte-tensao-a);y:tensao_100pontos: tensao(corte-tensao-a);x:tensao_100pontos: tensao(corte-tensao-b);y:tensao_100pontos: tensao(corte-tensao-b);x:tensao_100pontos: tensao(corte-tensao-c);y:tensao_100pontos: tensao(corte-tensao-c)
0,00948;-629,8710456109537;0,00948;-6,916709442018559;0,00948;603,6701372089764;0,0165;1093,259244977181;0,0165;352,0083642802467;0,0165;-272,0895012572076
0,01033;-640,3672061258548;0,01033;-72,72032084603067;0,01033;494,6622772014721;0,018;1043,444484627876;0,018;693,8431151869227;0,018;-463,4318980069498
0,01118;-524,53540104656;0,01118;-192,020974891334;0,01118;388,0823614092937;0,0195;991,6377099331036;0,0195;651,8312137871777;0,0195;-435,0125172679996
0,01203;-389,6654873456415;0,01203;-247,4260104028896;0,01203;304,1982400386831;0,021;12,1191457284427;0,021;536,3834343076431;0,021;-343,3954788560609
0,01288;78,59518072603788;0,01288;-256,9298152800177;0,01288;224,0706679289975;0,0225;-909,8626177794412;0,0225;701,1777013269111;0,0225;114,7911671745471
0,01373;304,2210621343364;0,01373;-284,9518388231454;0,01373;193,494847268888;0,024;-886,1311830068445;0,024;720,8027895526055;0,024;177,2888981247183
0,01458;704,7654540417104;0,01458;-167,4112420953993;0,01458;290,5471316537975;0,0254999999999999;-862,1598713674822;0,0254999999999999;79,5467031450743;0,0254999999999999;938,2289944193376
0,01543;828,0665336172942;0,01543;273,3699226794973;0,01543;255,022851394737;0,027;-814,5624826187632;0,027;-67,31821084694602;0,027;869,5187365737115
0,01628;1217,548967244635;0,01628;626,4430248874282;0,01628;-155,9506485604126;0,0285;-450,2064643266597;0,0285;-182,513635502293;0,0285;417,9668150563415
0,01713;1420,541707335635;0,01713;863,3139778199736;0,01713;-238,62722276301;0,03;494,7025156542579;0,03;-466,6191040386133;0,03;238,6831129033158
0,01798;1491,179041071519;0,01798;955,431296025548;0,01798;-220,2330457510273;0,0314999999999999;897,3356410506775;0,0314999999999999;-966,5765572907028;0,0314999999999999;-378,3895014232563
0,01883;1386,115269544402;0,01883;831,0158319268772;0,01883;-58,08741832875871;0,0329999999999999;861,6730697971813;0,0329999999999999;-138,9081882256265;0,0329999999999999;-344,5928049042312
0,01968;1316,00942275276;0,01968;872,0108359751414;0,01968;151,1590954364823;0,0345;768,3009468117727;0,0345;248,5489048154051;0,0345;-812,9006611729575
0,02053;1194,0841294282;0,02053;1228,407859756076;0,02053;473,2614214584248;0,036;306,9924371400133;0,036;-118,3503724565186;0,036;-662,0956680813406
0,02138;517,975096371631;0,02138;1325,668220995017;0,02138;604,9612246478779;0,0375;-36,02131478811975;0,0375;85,84637869133216;0,0375;-497,2918908911033
0,02223;24,73150679137257;0,02223;1393,309294086664;0,02223;862,8358902270927;0,0389999999999999;-1199,351677174364;0,0389999999999999;147,26712257873;0,0389999999999999;-559,4736130011548
0,02308;-4,029106858858254;0,02308;1457,086617879706;0,02308;1051,076762531938;0,0404999999999999;-1228,804142577684;0,0404999999999999;189,9382843846225;0,0404999999999999;-190,6517238926006
0,02393;3,741941191544364;0,02393;1489,091689739187;0,02393;939,6389992671686;0,042;-1146,476273715996;0,042;-459,5264530132405;0,042;316,4923020657268
0,02478;36,82163992203779;0,02478;798,2685431509924;0,02478;1080,627509946085;0,0435;-999,5691639384432;0,0435;-350,8283172024807;0,0435;277,5269783340646
0,02563;-24,75520019070061;0,02563;638,836278723293;0,02563;1671,072441960022;0,045;-823,1534140946343;0,045;-484,1931970859549;0,045;81,54259087949251
0,02648;37,37280557589754;0,02648;857,4994796071073;0,02648;1666,197390461404;0,0465;9,669598877094352;0,0465;-712,2307584836009;0,0465;-126,929859573275
0,02733;257,1310494728986;0,02733;1002,997336959744;0,02733;1615,097455943764;0,048;376,6394592470496;0,048;-925,4840300223136;0,048;-490,2107538308044
0,02818;392,8436912921173;0,02818;880,2383922353143;0,02818;1479,109411418498;0,0495;162,0774966034768;0,0495;-319,4668736028565;0,0495;-842,1482437181451
0,02903;564,382474793477;0,02903;549,4241292440387;0,02903;1109,006340870089;0,051;327,1601123895612;0,051;-186,2250539921714;0,051;-1132,674296774353
0,02988;1391,533880381401;0,02988;620,4020025031673;0,02988;1173,853985276842;0,0525;113,4763713286231;0,0525;-303,4191954693455;0,0525;-984,3213311750104
0,03073;1630,771110470463;0,03073;366,7717621757596;0,03073;911,3521836204004;0,054;-512,6163751393103;0,054;-551,8604797599997;0,054;-1157,848376599088
0,03158;1660,357476272516;0,03158;228,0144516847436;0,03158;717,631427281996;0,0554999999999999;-1952,785888899096;0,0554999999999999;-849,5419359765197;0,0554999999999999;-1369,909068428987
0,03243;1441,477021143519;0,03243;588,7012484350913;0,03243;396,2551101654126;0,057;-1962,726433290326;0,057;-1016,817846933206;0,057;-1282,66300441843
