"Time-Step";"flow-time";"current_in_a";"current_in_b";"current_in_c"
123;0.01024959;20763669.76617876;2622528.65226394;22938616.47721085
124;0.01033292;20238555.2664283;3050614.29773169;23227059.29812723
125;0.01041625;19667888.62347234;3470175.370100099;23482914.9357371
126;0.01049958;19075639.2918254;3890682.111646083;23712374.34230759
127;0.01058291;18442435.83869328;4336711.10065965;23930707.58246877
128;0.01066624;17780697.21035181;4811406.109974534;24112320.78575148
129;0.01074957;17072762.14080115;5321733.488261177;24269473.32788783
130;0.0108329;16353948.33183179;5913124.249634422;24377241.8029319
131;0.01091623;15601346.23458931;6542488.074346933;24487552.11141176
132;0.01099956;14817017.5762351;7221919.193805023;24572657.92611954
133;0.01108289;13990037.64401275;7894810.974803817;24633381.22544968
134;0.01116622;13160118.31711942;8608171.698252378;24712931.75904503
135;0.01124955;12297182.44510828;9354042.192756599;24727056.85541159
136;0.01133288;11416432.70090426;10111008.0049646;24720760.56542695
137;0.01141621;10528662.06531306;10879254.73778909;24704211.72482527
138;0.01149954;9628204.146486223;11679318.28990503;24668806.27949484
139;0.01158287;8720386.054104559;12483186.81039884;24594833.75662271
140;0.0116662;7813754.358116954;13274803.18557185;24510645.04527673
141;0.01174953;6904297.040961359;14071675.02658366;24423013.18349018
142;0.01183286;6005647.315376121;14869370.04643912;24305894.14298985
143;0.01191619;5128242.860098851;15647740.88183327;24164304.12900786
144;0.01199952;4275927.184450423;16378739.06020375;24003508.71981234
145;0.01208285;3455920.930144247;17092550.67498955;23805877.0580347
146;0.01216618;2670298.214720879;17810245.44956078;23594389.13858474
147;0.01224951;1942604.690775232;18538694.39113006;23387129.16444006
148;0.01233284;1277893.079961387;19250743.12971945;23149959.68595356
149;0.01241617;686353.4762025188;19954135.43793882;22920036.89092876
150;0.0124995;159096.6899017971;20655556.25620589;22686627.34405147
151;0.01258283;335973.4237440564;21339476.11890131;22437476.59652694
152;0.01266616;799227.574752317;21990747.21486825;22197954.90348789
153;0.01274949;1248462.647936241;22628555.52803707;21930624.05486359
154;0.01283282;1689429.997689314;23223655.8134575;21657111.75229692
155;0.01291615;2128022.100647645;23826740.57590181;21354864.3227065
156;0.01299948;2557422.036717494;24315676.80488969;21013252.38466438
157;0.01308281;2980484.22248311;24788244.34350705;20627913.48276706
158;0.01316614;3402586.906931695;25213881.61100992;20207173.66964788
159;0.01324947;3820495.544166876;25589796.14675164;19738478.77979942
160;0.0133328;4242644.301793256;25907948.56003036;19244220.73730583
161;0.01341613;4679637.311174711;26174794.94767244;18676824.49535356
162;0.01349946;5137515.339232281;26371011.85705025;18054280.09425159
163;0.01358279;5630197.886642281;26519320.7301921;17377570.56150407
164;0.01366612;6163748.369718691;26625292.15607663;16640332.21613371
165;0.01374945;6737444.679399072;26665834.18115124;15849079.32601361
166;0.01383278;7398770.293571661;26665142.94831529;15015305.3670181
167;0.01391611;8105908.659337936;26627572.1342956;14132327.89000337
168;0.01399944;8845002.231072038;26534529.37708055;13221273.60223403
169;0.01408277;9622614.071367709;26416845.54732458;12289808.4289181
170;0.0141661;10442583.89225297;26256329.57993123;11337305.82748861
171;0.01424943;11259673.64366385;26070407.44325154;10366423.92632039
172;0.01433276;12054602.60851691;25846380.18715221;9382678.215550762
173;0.01441609;12833514.12437091;25603520.22974636;8396799.166980362
174;0.01449942;13608547.92035858;25318576.62248691;7406555.211662386
175;0.01458275;14350186.66994884;25018745.6629022;6430444.710838802
176;0.01466608;15058738.2293865;24708579.24545463;5485922.605637088
177;0.01474941;15770388.16407191;24370625.94003721;4575476.583416528
178;0.01483274;16498291.86338497;24027878.18260298;3707340.110973902
179;0.01491607;17164859.50254701;23682767.78422751;2896053.814199169
180;0.0149994;17827778.26579892;23325592.86312832;2152640.804162096
181;0.01508273;18473690.39156375;22969375.20194629;1475500.083779177
182;0.01516606;19066979.79190451;22607351.02687786;860677.0276044586
183;0.01524939;19639004.38863449;22243787.99721714;303652.1168012699
184;0.01533272;20201977.81834739;21889327.70057387;213439.1598166976
185;0.01541605;20771652.21485467;21516333.0356588;695387.1916796801
186;0.01549938;21284941.77570493;21124835.11231153;1157514.566755812
187;0.01558271;21792263.23601037;20744934.78256383;1605511.946867877
188;0.01566604;22302369.26690114;20333922.36678672;2048734.327958878
189;0.01574937;22738077.25132189;19899336.03832585;2489745.381239812
190;0.0158327;23181176.30424687;19467904.56868922;2927287.496265142
191;0.01591603;23664219.80058168;19026385.80357859;3366820.772185869
192;0.01599936;24053361.74702809;18560245.99938372;3805303.759281235
193;0.01608269;24445599.92060561;18089612.20872275;4240340.159639845
194;0.01616602;24848499.56544597;17600886.61660282;4680422.864654263
195;0.01624935;25200314.68328054;17080401.36286936;5138545.76191407
196;0.01633268;25517784.7772872;16530941.40694779;5621944.779369224
197;0.01641601;25775236.91866211;15992663.92162323;6138646.432688821
198;0.01649934;26029343.75517494;15420517.27562518;6704993.439825654
199;0.01658267;26294116.00075928;14836403.8988701;7317551.560085408
200;0.016666;26505146.57879497;14208718.59272654;7953036.174241129
