Time-Step;flow-time;current_in_a;current_in_b;current_in_c
1090;0.005450000000000001;-16319775.88703338;35057117.97470728;-18737342.08767391
1100;0.005500000000000001;-16902276.19505956;35077198.48340869;-18174922.28834914
1110;0.00555;-17478771.2048358;35084816.23051317;-17606045.02567738
1120;0.005600000000000001;-18049056.09043021;35079968.50947143;-17030912.41904125
1130;0.005650000000000001;-18612928.23233838;35062657.0426557;-16449728.81031731
1140;0.005700000000000001;-19170187.28947329;35032887.98074768;-15862700.69127439
1150;0.005750000000000001;-19720635.27034532;34990671.90055335;-15270036.63020804
1160;0.0058;-20264076.60340794;34936023.80124494;-14671947.197837
1170;0.005850000000000001;-20800318.20654317;34868963.09903197;-14068644.89248881
1180;0.005900000000000001;-21329169.55566279;34789513.62026259;-13460344.06459983
1190;0.00595;-21850442.75240062;34697703.59295831;-12847260.84055768
1200;0.006000000000000001;-22363952.590872;34593565.63678466;-12229613.04591266
1210;0.006050000000000001;-22869516.62347645;34477136.7514616;-11607620.12798517
1220;0.0061;-23366955.22572047;34348458.30361771;-10981503.07789724
1230;0.006150000000000001;-23856091.66003731;34207576.01209278;-10351484.35205548
1240;0.006200000000000001;-24336752.13858093;34054539.93169416;-9717787.793113248
1250;0.00625;-24808765.88497202;33889404.43541252;-9080638.550440488
1260;0.006300000000000001;-25271965.19497407;33712228.19510338;-8440263.00012932
1270;0.006350000000000001;-25726185.49607777;33523074.16064128;-7796888.664563512
1280;0.0064;-26171265.40597299;33322009.53755396;-7150744.131580961
1290;0.006450000000000001;-26607046.78988704;33109105.76314464;-6502058.973257603
1300;0.006500000000000001;-27033374.81676923;32884438.48111059;-5851063.664341366
1310;0.006550000000000001;-27450098.01430164;32648087.51466733;-5197989.500365688
1320;0.006600000000000001;-27857068.32271644;32400136.83818783;-4543068.515471403
1330;0.006650000000000001;-28254141.1474009;32140674.54736681;-3886533.399965926
1340;0.006700000000000001;-28641175.41027111;31869792.82792072;-3228617.417649598
1350;0.006750000000000001;-29018033.5998964;31587587.92283464;-2569554.322938254
1360;0.0068;-29384581.82035642;31294160.09816761;-1909578.277811205
1370;0.006850000000000001;-29740689.83881384;30989613.60742854;-1248923.768614702
1380;0.006900000000000001;-30086231.13178533;30674056.65453545;-587825.5227501384
1390;0.00695;-30421082.93009482;30347601.35537115;73481.57472365741
1400;0.007000000000000001;-30745126.26249284;30010363.69794897;734762.5645438762
1410;0.007050000000000001;-31058245.99792634;29662463.5012028;1395782.496723509
1420;0.0071;-31360330.88644428;29304024.37241597;2056306.514028301
1430;0.007150000000000001;-31651273.59872419;28935173.66330418;2716099.935420006
1440;0.007200000000000001;-31930970.76420574;28556042.42476809;3374928.339437623
1450;0.00725;-32199323.00781785;28166765.36033142;4032557.64748642
1460;0.007300000000000001;-32456234.98528617;27767480.77828161;4688754.207004565
1470;0.007350000000000001;-32701615.4170084;27358330.54252942;5343284.874478955
1480;0.007400000000000001;-32935377.12048558;26939460.02220538;5995917.098280186
1490;0.007450000000000001;-33157437.04129753;26511018.04001087;6646419.001286665
1500;0.007500000000000001;-33367716.28261175;26073156.81934209;7294559.463269634
1510;0.007550000000000001;-33566140.13321509;25626031.93020581;7940108.203009271
1520;0.007600000000000001;-33752638.09405823;25169802.2339461;8582835.86011214
1530;0.007650000000000001;-33927143.90330372;24704629.82680166;9222514.076502036
1540;0.007700000000000001;-34089595.55986847;24230679.98231376;9858915.577554703
1550;0.007750000000000001;-34239935.34545243;23748121.09260539;10491814.25284702
1560;0.007800000000000001;-34378109.84504564;23257124.60855229;11120985.23649332
1570;0.007850000000000001;-34504069.96590634;22757864.97886733;11746204.987039
1580;0.007900000000000001;-34617770.95500334;22250519.58811963;12367251.3668837
1590;0.00795;-34719172.41491664;21735268.69371074;12983903.72120587
1600;0.008;-34808238.31819036;21212295.36183004;13595942.95636032
