Time-Step;tensao-a;tensao-b;tensao-c;flow-time
440;550.5625109576474;17.87777534179693;-715.7487816944744;0.0022
450;552.1207858578171;16.35841707294023;-715.9914015261623;0.00225
460;552.9959287343684;13.68843730976026;-713.2817136532871;0.0023
470;552.5291777468667;9.796902048847134;-707.102247623863;0.002350000000000001
480;550.0142882122726;3.553348721907717;-698.6882138140385;0.0024
490;545.872669773622;-3.564229572293391;-686.6822920441313;0.00245
500;540.0236366039137;-12.35912981620087;-672.6788152863535;0.0025
510;530.402892448379;-24.99676244074334;-656.6429234703049;0.00255
520;523.5157282993474;-34.14475112964719;-636.0170033515925;0.0026
530;515.7599113662077;-43.03478287753384;-617.5591053894053;0.00265
540;509.0251177122956;-48.61082131763769;-602.2595351525073;0.0027
550;503.4087636290128;-51.96391194714322;-589.6823318328571;0.00275
560;498.3045374719939;-53.18536538543696;-581.2115515694269;0.0028
570;493.50594537944;-52.42037142451176;-577.2317822297949;0.00285
580;489.3017550137788;-48.83601132666134;-576.7780115574348;0.0029
590;485.6692777541123;-44.5794462786099;-578.3850594838422;0.00295
600;481.6921215710253;-39.2725110974152;-581.0549006270294;0.003
610;477.3573367173363;-33.54477350977142;-584.0367285004254;0.003050000000000001
620;469.8069671804942;-25.31167844385688;-585.151865201901;0.0031
630;460.0523647982158;-13.46589131113416;-583.5304705176713;0.00315
640;447.6887537687043;-0.1543429916508635;-580.6923267039615;0.003200000000000001
650;433.6746844218026;14.05703486622929;-577.2114361030855;0.00325
660;415.1236193420742;25.36282506499452;-576.8182566503963;0.0033
670;398.8514561372252;40.54074989420718;-572.8433816523997;0.003350000000000001
680;380.8422069778584;55.52208250966468;-568.9578323346136;0.0034
690;363.0866058407936;70.89830826579657;-563.6293314419156;0.00345
700;343.9208922338618;85.66032549400697;-557.4217985668707;0.003500000000000001
710;324.0683617529396;99.80671676818385;-551.5841736873189;0.00355
720;303.6113724691285;113.1553197015749;-543.5542959806438;0.0036
730;282.2126586851078;125.5997776111515;-534.3929701888591;0.00365
740;257.1418349322407;134.5544173033672;-525.4303605134278;0.0037
750;232.0531780515345;144.6343004509258;-516.6532422596865;0.00375
760;205.0455524339984;152.7546101194182;-504.9097361354342;0.0038
770;181.8292965932661;166.3359349939616;-488.6448981193203;0.00385
780;158.3587414017451;181.2509604485143;-474.1009323962923;0.003900000000000001
790;138.5481568938375;203.9985907085374;-468.239872438675;0.00395
800;110.2601604887515;214.2074418374558;-447.2605845519224;0.004
810;89.74267723933097;240.2618356403846;-451.1946900898877;0.004050000000000001
820;55.23461692864197;244.1607401463015;-418.7542491545637;0.0041
830;40.02016383858806;279.793491621362;-427.025703828687;0.00415
840;4.700594045665604;284.5314209918743;-392.0911373891499;0.004200000000000001
850;-26.41936975157246;296.9755012689341;-368.6737548314403;0.00425
860;-48.70921903567268;324.6120147556164;-366.4140321379727;0.004300000000000001
870;-79.4405927934328;336.2842084693082;-336.9221134502771;0.004350000000000001
880;-95.21014169657725;372.8810448810081;-345.8963488921318;0.0044
890;-128.8620784111677;381.0856573106291;-316.0748191369532;0.004450000000000001
900;-160.6572509488784;392.7495027205828;-293.6915406296072;0.004500000000000001
910;-190.4330577839246;407.4390458396725;-275.8487352862622;0.00455
920;-220.9842409234437;420.3446054387449;-255.3562157949331;0.004600000000000001
930;-249.7002073795876;435.5631715882902;-238.8602441274249;0.00465
940;-277.9413815762257;450.9585059675657;-223.1983110791112;0.0047
950;-307.9171352814915;463.3285691485848;-207.2030898355355;0.004750000000000001
960;-336.1261937525858;476.7636072403481;-191.9500524680337;0.0048
